Galaxy ID,Stellar Mass [Mo],g band,r band,Probability is spiral
163676,96567190000.0,-20.59998,-21.332668,0.5295182466506958
163677,67236480000.0,-20.027628,-20.824118,0.2540726959705353
163678,10800257000.0,-19.17067,-19.701653,0.9565531015396118
163679,10037014000.0,-18.626871,-19.290844,0.5157216191291809
163680,24959736000.0,-19.130457,-19.919268,0.2924582362174988
163681,20033053000.0,-19.168503,-19.915997,0.5446228981018066
163682,11444362000.0,-18.955168,-19.52897,0.5393447875976562
163683,14933366000.0,-19.076353,-19.72113,0.5668635368347168
163684,15184480000.0,-18.735266,-19.508148,0.3391028046607971
163685,5589394400.0,-19.071043,-19.439697,0.6656997799873352
163687,4422489000.0,-18.502092,-18.98419,0.38839831948280334
163688,13059781000.0,-18.70909,-19.462551,0.39245426654815674
163689,6563913700.0,-18.153053,-18.871248,0.7233685255050659
163690,4754311000.0,-18.07081,-18.676239,0.9470088481903076
163691,10202989000.0,-18.337948,-19.101278,0.40958961844444275
163692,6100581000.0,-17.818352,-18.56067,0.31170758605003357
163694,10801384000.0,-18.471039,-19.229216,0.5095753073692322
163695,11335847000.0,-18.488493,-19.258461,0.31492936611175537
163696,5276464600.0,-17.83108,-18.55868,0.3240840435028076
163701,4993729000.0,-17.538532,-18.306171,0.4053962528705597
